"Protein.identifier"	"Contig.id"	"Start"	"Stop"	"Strand"	"Gene.symbol"	"Sequence.name"	"Scope"	"Element.type"	"Element.subtype"	"Class"	"Subclass"	"Method"	"Target.length"	"Reference.sequence.length"	"X..Coverage.of.reference.sequence"	"X..Identity.to.reference.sequence"	"Alignment.length"	"Accession.of.closest.sequence"	"Name.of.closest.sequence"	"HMM.id"	"HMM.description"	"ID"
"813"	"KDBNAEPA_04744"	2	36471	37286	"-"	"sul2"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTP"	271	271	100	100	271	"WP_001043260.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"NF000295.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"NDSU29"
"814"	"KDBNAEPA_04781"	2	65627	66772	"+"	"blaCMY-2"	"extended-spectrum class C beta-lactamase CMY-2"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEP"	381	381	100	100	381	"WP_000976514.1"	"extended-spectrum class C beta-lactamase CMY-2"	"NF000191.1"	"CMY-2 family class C beta-lactamase"	"NDSU29"
"815"	"JCBMMAMG_00201"	1	210904	211602	"+"	"lpfB"	"long polar fimbrial chaperone LpfB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	232	232	100	100	232	"WXV87835.1"	"long polar fimbrial chaperone LpfB"	NA	NA	"NDSU3"
"816"	"JCBMMAMG_00952"	1	993106	995163	"+"	"invA"	"type III secretion system export apparatus protein InvA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	685	685	100	99.85	685	"WXW86397.1"	"type III secretion system export apparatus protein InvA"	NA	NA	"NDSU3"
"817"	"JCBMMAMG_00983"	1	1022798	1023634	"+"	"avrA"	"type III secretion system YopJ family effector AvrA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	278	302	91.72	99.28	277	"AAL21745.1"	"type III secretion system YopJ family effector AvrA"	NA	NA	"NDSU3"
"818"	"JCBMMAMG_01078"	1	1112061	1115717	"-"	"iroC"	"salmochelin/enterobactin export ABC transporter IroC"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	1218	1219	98.85	79.85	1211	"AUH19662.1"	"salmochelin/enterobactin export ABC transporter IroC"	NA	NA	"NDSU3"
"819"	"JCBMMAMG_01079"	1	1115798	1116913	"-"	"iroB"	"salmochelin biosynthesis C-glycosyltransferase IroB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	371	371	100	86.52	371	"EOW04219.1"	"salmochelin biosynthesis C-glycosyltransferase IroB"	NA	NA	"NDSU3"
"820"	"JCBMMAMG_01250"	1	1299502	1301694	"+"	"sinH"	"intimin-like inverse autotransporter SinH"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	730	730	100	99.86	730	"AAL21411.1"	"intimin-like inverse autotransporter SinH"	"NF033423.1"	"intimin-like inverse autotransporter SinH"	"NDSU3"
"821"	"JCBMMAMG_01534"	1	1614510	1616816	"+"	"sspH2"	"SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	768	788	100	96.57	788	"QJV46475.1"	"SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2"	NA	NA	"NDSU3"
"822"	"JCBMMAMG_01857"	1	1930040	1931047	"-"	"sseK3"	"type III secretion system effector arginine glycosyltransferase SseK3"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	335	335	100	100	335	"CBW18025.1"	"type III secretion system effector arginine glycosyltransferase SseK3"	NA	NA	"NDSU3"
"823"	"JCBMMAMG_02220"	1	2282544	2282792	"-"	"asr"	"acid resistance repetitive basic protein Asr"	"plus"	"STRESS"	"ACID"	NA	NA	"HMM"	82	102	100	58.49	106	"BAA15331.2"	"acid resistance repetitive basic protein Asr"	"NF033636.1"	"acid resistance repetitive basic protein Asr"	"NDSU3"
"824"	"JCBMMAMG_02616"	1	2689940	2690473	"+"	"sodC1"	"superoxide dismutase [Cu-Zn] SodC1"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	177	177	100	100	177	"AAL19978.1"	"superoxide dismutase [Cu-Zn] SodC1"	NA	NA	"NDSU3"
"825"	NA	1	2705890	2706573	"+"	"gtgA"	"type III secretion system effector protease GtgA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTX"	228	228	100	99.56	228	"CBW17061.1"	"type III secretion system effector protease GtgA"	NA	NA	"NDSU3"
"826"	"JCBMMAMG_03612"	1	3673437	3673901	"-"	"golS"	"Au(I) sensor transcriptional regulator GolS"	"plus"	"STRESS"	"METAL"	"GOLD"	"GOLD"	"BLASTP"	154	154	100	99.35	154	"AAL19308.1"	"Au(I) sensor transcriptional regulator GolS"	NA	NA	"NDSU3"
"827"	"JCBMMAMG_03613"	1	3673898	3676201	"-"	"golT"	"gold/copper-translocating P-type ATPase GolT"	"plus"	"STRESS"	"METAL"	"COPPER/GOLD"	"COPPER/GOLD"	"BLASTP"	767	762	100	99.48	762	"AAL19307.1"	"gold/copper-translocating P-type ATPase GolT"	NA	NA	"NDSU3"
"828"	"JCBMMAMG_03614"	1	3676478	3677704	"+"	"mdsA"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	408	408	100	98.77	408	"AAL19306.1"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	NA	NA	"NDSU3"
"829"	"JCBMMAMG_03615"	1	3677701	3680868	"+"	"mdsB"	"multidrug efflux RND transporter permease subunit MdsB"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	1055	1055	100	99.43	1055	"AAL19305.1"	"multidrug efflux RND transporter permease subunit MdsB"	NA	NA	"NDSU3"
"830"	"JCBMMAMG_04766"	2	51886	52701	"-"	"sul2"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTP"	271	271	100	100	271	"WP_001043260.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"NF000295.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"NDSU3"
"831"	"JCBMMAMG_04805"	2	86164	86598	"-"	"merR"	"mercury resistance transcriptional regulator MerR"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"EXACTP"	144	144	100	100	144	"AAA98221.1"	"mercury resistance transcriptional regulator MerR"	"NF010315.0"	"mercury resistance transcriptional regulator MerR"	"NDSU3"
"832"	"JCBMMAMG_04806"	2	86670	87020	"+"	"merT"	"mercuric transport protein MerT"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"EXACTP"	116	116	100	100	116	"AAA98222.1"	"mercuric transport protein MerT"	NA	NA	"NDSU3"
"833"	"JCBMMAMG_04807"	2	87036	87311	"+"	"merP"	"mercury resistance system periplasmic binding protein MerP"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"EXACTP"	91	91	100	100	91	"AAA98223.1"	"mercury resistance system periplasmic binding protein MerP"	"TIGR02052.1"	"mercury resistance system periplasmic binding protein MerP"	"NDSU3"
"834"	"JCBMMAMG_04808"	2	87383	89068	"+"	"merA"	"mercury(II) reductase"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"BLASTP"	561	561	100	92.69	561	"ACU65296.1"	"mercury(II) reductase"	"TIGR02053.1"	"mercury(II) reductase"	"NDSU3"
"835"	"JCBMMAMG_04809"	2	89083	89721	"+"	"merB"	"organomercurial lyase MerB"	"plus"	"STRESS"	"METAL"	"MERCURY"	"ORGANOMERCURY"	"EXACTP"	212	212	100	100	212	"AAA88369.1"	"organomercurial lyase MerB"	"NF033555.1"	"organomercurial lyase MerB"	"NDSU3"
"836"	"JCBMMAMG_04810"	2	89833	90198	"+"	"merD"	"mercury resistance co-regulator MerD"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"EXACTP"	121	121	100	100	121	"AAA88370.1"	"mercury resistance co-regulator MerD"	"NF033783.1"	"mercury resistance co-regulator MerD"	"NDSU3"
"837"	"JCBMMAMG_04811"	2	90195	90431	"+"	"merE"	"broad-spectrum mercury transporter MerE"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"BLASTP"	78	78	100	97.44	78	"AAA88371.1"	"broad-spectrum mercury transporter MerE"	"NF010310.2"	"broad-spectrum mercury transporter MerE"	"NDSU3"
"838"	"JCBMMAMG_04815"	2	92906	93439	"+"	"ant(2'')-Ia"	"aminoglycoside nucleotidyltransferase ANT(2'')-Ia"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"GENTAMICIN/KANAMYCIN/TOBRAMYCIN"	"EXACTP"	177	177	100	100	177	"WP_000381802.1"	"aminoglycoside nucleotidyltransferase ANT(2'')-Ia"	"NF000064.3"	"aminoglycoside nucleotidyltransferase ANT(2'')-Ia"	"NDSU3"
"839"	"JCBMMAMG_04817"	2	94400	95659	"+"	"cmlA5"	"chloramphenicol efflux MFS transporter CmlA5"	"core"	"AMR"	"AMR"	"PHENICOL"	"CHLORAMPHENICOL"	"EXACTP"	419	419	100	100	419	"WP_012300772.1"	"chloramphenicol efflux MFS transporter CmlA5"	"NF000509.1"	"CmlA family chloramphenicol efflux MFS transporter"	"NDSU3"
"840"	"JCBMMAMG_04818"	2	95851	96198	"+"	"qacEdelta1"	"quaternary ammonium compound efflux SMR transporter QacE delta 1"	"core"	"STRESS"	"BIOCIDE"	"QUATERNARY AMMONIUM"	"QUATERNARY AMMONIUM"	"ALLELEP"	115	115	100	100	115	"WP_000679427.1"	"quaternary ammonium compound efflux SMR transporter QacE delta 1"	"NF000276.2"	"quaternary ammonium compound efflux SMR transporter QacE"	"NDSU3"
"841"	"JCBMMAMG_04914"	3	63040	63690	"-"	"spvD"	"SPI-2 type III secretion system effector cysteine hydrolase SpvD"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	216	216	100	100	216	"AAG59626.1"	"SPI-2 type III secretion system effector cysteine hydrolase SpvD"	NA	NA	"NDSU3"
"842"	"JCBMMAMG_04926"	4	569	1714	"-"	"blaCMY-2"	"extended-spectrum class C beta-lactamase CMY-2"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEP"	381	381	100	100	381	"WP_000976514.1"	"extended-spectrum class C beta-lactamase CMY-2"	"NF000191.1"	"CMY-2 family class C beta-lactamase"	"NDSU3"
"843"	"JCBMMAMG_04963"	4	30055	30870	"+"	"sul2"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTP"	271	271	100	100	271	"WP_001043260.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"NF000295.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"NDSU3"
"844"	"JCBMMAMG_04964"	4	30931	31734	"+"	"aph(3'')-Ib"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTP"	267	267	100	100	267	"WP_001082319.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"NF032895.1"	"aminoglycoside O-phosphotransferase APH(3'')-Ib"	"NDSU3"
"845"	"JCBMMAMG_04965"	4	31734	32570	"+"	"aph(6)-Id"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"STREPTOMYCIN"	"EXACTP"	278	278	100	100	278	"WP_000480968.1"	"aminoglycoside O-phosphotransferase APH(6)-Id"	"NF012171.0"	"APH(6)-I family aminoglycoside O-phosphotransferase"	"NDSU3"
"846"	"JCBMMAMG_04968"	4	33906	35105	"+"	"tet(A)"	"tetracycline efflux MFS transporter Tet(A)"	"core"	"AMR"	"AMR"	"TETRACYCLINE"	"TETRACYCLINE"	"EXACTP"	399	399	100	100	399	"WP_000804063.1"	"tetracycline efflux MFS transporter Tet(A)"	"NF012193.0"	"tetracycline efflux MFS transporter Tet(A)"	"NDSU3"
"847"	"JCBMMAMG_04971"	4	35705	36919	"-"	"floR"	"chloramphenicol/florfenicol efflux MFS transporter FloR"	"core"	"AMR"	"AMR"	"PHENICOL"	"CHLORAMPHENICOL/FLORFENICOL"	"BLASTP"	404	404	100	99.5	404	"WP_000214119.1"	"chloramphenicol/florfenicol efflux MFS transporter FloR"	"NF000219.1"	"chloramphenicol/florfenicol efflux MFS transporter FloR"	"NDSU3"
"848"	"JCBMMAMG_05036"	6	2031	2267	"-"	"merE"	"broad-spectrum mercury transporter MerE"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"HMM"	78	78	100	78.21	78	"AAA88371.1"	"broad-spectrum mercury transporter MerE"	"NF010310.2"	"broad-spectrum mercury transporter MerE"	"NDSU3"
"849"	"JCBMMAMG_05037"	6	2264	2626	"-"	"merD"	"mercury resistance co-regulator MerD"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"HMM"	120	121	100	82.64	121	"AAC38221.1"	"mercury resistance co-regulator MerD"	"NF033783.1"	"mercury resistance co-regulator MerD"	"NDSU3"
"850"	"JCBMMAMG_05039"	6	3302	4078	"-"	"blaTEM"	"TEM family class A beta-lactamase"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"BETA-LACTAM"	"BLASTP"	258	286	90.21	99.61	258	"WP_000027057.1"	"broad-spectrum class A beta-lactamase TEM-1"	"NF033103.1"	"class A beta-lactamase"	"NDSU3"
"851"	"JCBMMAMG_05040"	7	138	953	"-"	"aph(3')-Ia"	"aminoglycoside O-phosphotransferase APH(3')-Ia"	"core"	"AMR"	"AMR"	"AMINOGLYCOSIDE"	"KANAMYCIN"	"EXACTP"	271	271	100	100	271	"WP_000018329.1"	"aminoglycoside O-phosphotransferase APH(3')-Ia"	"NF033059.2"	"APH(3')-I family aminoglycoside O-phosphotransferase"	"NDSU3"
"852"	"NGCEKFFD_00201"	1	210898	211596	"+"	"lpfB"	"long polar fimbrial chaperone LpfB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	232	232	100	100	232	"WXV87835.1"	"long polar fimbrial chaperone LpfB"	NA	NA	"NDSU30"
"853"	"NGCEKFFD_00953"	1	993148	995205	"+"	"invA"	"type III secretion system export apparatus protein InvA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	685	685	100	99.85	685	"WXW86397.1"	"type III secretion system export apparatus protein InvA"	NA	NA	"NDSU30"
"854"	"NGCEKFFD_00984"	1	1022840	1023676	"+"	"avrA"	"type III secretion system YopJ family effector AvrA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	278	302	91.72	99.28	277	"AAL21745.1"	"type III secretion system YopJ family effector AvrA"	NA	NA	"NDSU30"
"855"	"NGCEKFFD_01078"	1	1111964	1115620	"-"	"iroC"	"salmochelin/enterobactin export ABC transporter IroC"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	1218	1219	98.85	79.85	1211	"AUH19662.1"	"salmochelin/enterobactin export ABC transporter IroC"	NA	NA	"NDSU30"
"856"	"NGCEKFFD_01079"	1	1115701	1116816	"-"	"iroB"	"salmochelin biosynthesis C-glycosyltransferase IroB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	371	371	100	86.52	371	"EOW04219.1"	"salmochelin biosynthesis C-glycosyltransferase IroB"	NA	NA	"NDSU30"
"857"	"NGCEKFFD_01250"	1	1299405	1301597	"+"	"sinH"	"intimin-like inverse autotransporter SinH"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	730	730	100	99.86	730	"AAL21411.1"	"intimin-like inverse autotransporter SinH"	"NF033423.1"	"intimin-like inverse autotransporter SinH"	"NDSU30"
"858"	"NGCEKFFD_01535"	1	1614415	1616721	"+"	"sspH2"	"SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	768	788	100	96.57	788	"QJV46475.1"	"SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2"	NA	NA	"NDSU30"
"859"	"NGCEKFFD_01857"	1	1929945	1930952	"-"	"sseK3"	"type III secretion system effector arginine glycosyltransferase SseK3"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	335	335	100	100	335	"CBW18025.1"	"type III secretion system effector arginine glycosyltransferase SseK3"	NA	NA	"NDSU30"
"860"	"NGCEKFFD_02220"	1	2282630	2282878	"-"	"asr"	"acid resistance repetitive basic protein Asr"	"plus"	"STRESS"	"ACID"	NA	NA	"HMM"	82	102	100	58.49	106	"BAA15331.2"	"acid resistance repetitive basic protein Asr"	"NF033636.1"	"acid resistance repetitive basic protein Asr"	"NDSU30"
"861"	"NGCEKFFD_02618"	1	2690025	2690558	"+"	"sodC1"	"superoxide dismutase [Cu-Zn] SodC1"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	177	177	100	100	177	"AAL19978.1"	"superoxide dismutase [Cu-Zn] SodC1"	NA	NA	"NDSU30"
"862"	NA	1	2705975	2706658	"+"	"gtgA"	"type III secretion system effector protease GtgA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTX"	228	228	100	99.56	228	"CBW17061.1"	"type III secretion system effector protease GtgA"	NA	NA	"NDSU30"
"863"	"NGCEKFFD_03618"	1	3675743	3676207	"-"	"golS"	"Au(I) sensor transcriptional regulator GolS"	"plus"	"STRESS"	"METAL"	"GOLD"	"GOLD"	"BLASTP"	154	154	100	99.35	154	"AAL19308.1"	"Au(I) sensor transcriptional regulator GolS"	NA	NA	"NDSU30"
"864"	"NGCEKFFD_03619"	1	3676204	3678507	"-"	"golT"	"gold/copper-translocating P-type ATPase GolT"	"plus"	"STRESS"	"METAL"	"COPPER/GOLD"	"COPPER/GOLD"	"BLASTP"	767	762	100	99.48	762	"AAL19307.1"	"gold/copper-translocating P-type ATPase GolT"	NA	NA	"NDSU30"
"865"	"NGCEKFFD_03620"	1	3678784	3680010	"+"	"mdsA"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	408	408	100	98.77	408	"AAL19306.1"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	NA	NA	"NDSU30"
"866"	"NGCEKFFD_03621"	1	3680007	3683174	"+"	"mdsB"	"multidrug efflux RND transporter permease subunit MdsB"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	1055	1055	100	99.43	1055	"AAL19305.1"	"multidrug efflux RND transporter permease subunit MdsB"	NA	NA	"NDSU30"
"867"	"NGCEKFFD_04728"	2	18625	19275	"-"	"spvD"	"SPI-2 type III secretion system effector cysteine hydrolase SpvD"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	216	216	100	100	216	"AAG59626.1"	"SPI-2 type III secretion system effector cysteine hydrolase SpvD"	NA	NA	"NDSU30"
"868"	"NGCEKFFD_04851"	3	54139	54573	"-"	"merR"	"mercury resistance transcriptional regulator MerR"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"EXACTP"	144	144	100	100	144	"AAA98221.1"	"mercury resistance transcriptional regulator MerR"	"NF010315.0"	"mercury resistance transcriptional regulator MerR"	"NDSU30"
"869"	"NGCEKFFD_04852"	3	54645	54995	"+"	"merT"	"mercuric transport protein MerT"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"EXACTP"	116	116	100	100	116	"AAA98222.1"	"mercuric transport protein MerT"	NA	NA	"NDSU30"
"870"	"NGCEKFFD_04853"	3	55011	55286	"+"	"merP"	"mercury resistance system periplasmic binding protein MerP"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"EXACTP"	91	91	100	100	91	"AAA98223.1"	"mercury resistance system periplasmic binding protein MerP"	"TIGR02052.1"	"mercury resistance system periplasmic binding protein MerP"	"NDSU30"
"871"	"NGCEKFFD_04854"	3	55358	57043	"+"	"merA"	"mercury(II) reductase"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"BLASTP"	561	561	100	92.69	561	"ACU65296.1"	"mercury(II) reductase"	"TIGR02053.1"	"mercury(II) reductase"	"NDSU30"
"872"	"NGCEKFFD_04855"	3	57058	57696	"+"	"merB"	"organomercurial lyase MerB"	"plus"	"STRESS"	"METAL"	"MERCURY"	"ORGANOMERCURY"	"EXACTP"	212	212	100	100	212	"AAA88369.1"	"organomercurial lyase MerB"	"NF033555.1"	"organomercurial lyase MerB"	"NDSU30"
"873"	"NGCEKFFD_04856"	3	57808	58173	"+"	"merD"	"mercury resistance co-regulator MerD"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"EXACTP"	121	121	100	100	121	"AAA88370.1"	"mercury resistance co-regulator MerD"	"NF033783.1"	"mercury resistance co-regulator MerD"	"NDSU30"
"874"	"NGCEKFFD_04857"	3	58170	58406	"+"	"merE"	"broad-spectrum mercury transporter MerE"	"plus"	"STRESS"	"METAL"	"MERCURY"	"MERCURY"	"BLASTP"	78	78	100	97.44	78	"AAA88371.1"	"broad-spectrum mercury transporter MerE"	"NF010310.2"	"broad-spectrum mercury transporter MerE"	"NDSU30"
"875"	"HAGJOKOF_00201"	1	210904	211602	"+"	"lpfB"	"long polar fimbrial chaperone LpfB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	232	232	100	100	232	"WXV87835.1"	"long polar fimbrial chaperone LpfB"	NA	NA	"NDSU4"
"876"	"HAGJOKOF_00952"	1	993107	995164	"+"	"invA"	"type III secretion system export apparatus protein InvA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	685	685	100	99.85	685	"WXW86397.1"	"type III secretion system export apparatus protein InvA"	NA	NA	"NDSU4"
"877"	"HAGJOKOF_00983"	1	1022799	1023635	"+"	"avrA"	"type III secretion system YopJ family effector AvrA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	278	302	91.72	99.28	277	"AAL21745.1"	"type III secretion system YopJ family effector AvrA"	NA	NA	"NDSU4"
"878"	"HAGJOKOF_01078"	1	1112062	1115718	"-"	"iroC"	"salmochelin/enterobactin export ABC transporter IroC"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	1218	1219	98.85	79.85	1211	"AUH19662.1"	"salmochelin/enterobactin export ABC transporter IroC"	NA	NA	"NDSU4"
"879"	"HAGJOKOF_01079"	1	1115799	1116914	"-"	"iroB"	"salmochelin biosynthesis C-glycosyltransferase IroB"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	371	371	100	86.52	371	"EOW04219.1"	"salmochelin biosynthesis C-glycosyltransferase IroB"	NA	NA	"NDSU4"
"880"	"HAGJOKOF_01250"	1	1299503	1301695	"+"	"sinH"	"intimin-like inverse autotransporter SinH"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	730	730	100	99.86	730	"AAL21411.1"	"intimin-like inverse autotransporter SinH"	"NF033423.1"	"intimin-like inverse autotransporter SinH"	"NDSU4"
"881"	"HAGJOKOF_01534"	1	1614331	1616637	"+"	"sspH2"	"SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTP"	768	788	100	96.57	788	"QJV46475.1"	"SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2"	NA	NA	"NDSU4"
"882"	"HAGJOKOF_01859"	1	1931197	1932204	"-"	"sseK3"	"type III secretion system effector arginine glycosyltransferase SseK3"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	335	335	100	100	335	"CBW18025.1"	"type III secretion system effector arginine glycosyltransferase SseK3"	NA	NA	"NDSU4"
"883"	"HAGJOKOF_02222"	1	2283881	2284129	"-"	"asr"	"acid resistance repetitive basic protein Asr"	"plus"	"STRESS"	"ACID"	NA	NA	"HMM"	82	102	100	58.49	106	"BAA15331.2"	"acid resistance repetitive basic protein Asr"	"NF033636.1"	"acid resistance repetitive basic protein Asr"	"NDSU4"
"884"	"HAGJOKOF_02621"	1	2692575	2693108	"+"	"sodC1"	"superoxide dismutase [Cu-Zn] SodC1"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"EXACTP"	177	177	100	100	177	"AAL19978.1"	"superoxide dismutase [Cu-Zn] SodC1"	NA	NA	"NDSU4"
"885"	NA	1	2708525	2709208	"+"	"gtgA"	"type III secretion system effector protease GtgA"	"plus"	"VIRULENCE"	"VIRULENCE"	NA	NA	"BLASTX"	228	228	100	99.56	228	"CBW17061.1"	"type III secretion system effector protease GtgA"	NA	NA	"NDSU4"
"886"	"HAGJOKOF_03617"	1	3676089	3676553	"-"	"golS"	"Au(I) sensor transcriptional regulator GolS"	"plus"	"STRESS"	"METAL"	"GOLD"	"GOLD"	"BLASTP"	154	154	100	99.35	154	"AAL19308.1"	"Au(I) sensor transcriptional regulator GolS"	NA	NA	"NDSU4"
"887"	"HAGJOKOF_03618"	1	3676550	3678853	"-"	"golT"	"gold/copper-translocating P-type ATPase GolT"	"plus"	"STRESS"	"METAL"	"COPPER/GOLD"	"COPPER/GOLD"	"BLASTP"	767	762	100	99.48	762	"AAL19307.1"	"gold/copper-translocating P-type ATPase GolT"	NA	NA	"NDSU4"
"888"	"HAGJOKOF_03619"	1	3679130	3680356	"+"	"mdsA"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	408	408	100	98.77	408	"AAL19306.1"	"multidrug efflux RND transporter periplasmic adaptor subunit MdsA"	NA	NA	"NDSU4"
"889"	"HAGJOKOF_03620"	1	3680353	3683520	"+"	"mdsB"	"multidrug efflux RND transporter permease subunit MdsB"	"plus"	"AMR"	"AMR"	"EFFLUX"	"EFFLUX"	"BLASTP"	1055	1055	100	99.43	1055	"AAL19305.1"	"multidrug efflux RND transporter permease subunit MdsB"	NA	NA	"NDSU4"
"890"	"HAGJOKOF_04827"	2	91429	92574	"-"	"blaCMY-2"	"extended-spectrum class C beta-lactamase CMY-2"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"CEPHALOSPORIN"	"ALLELEP"	381	381	100	100	381	"WP_000976514.1"	"extended-spectrum class C beta-lactamase CMY-2"	"NF000191.1"	"CMY-2 family class C beta-lactamase"	"NDSU4"
"891"	"HAGJOKOF_04864"	2	120915	121730	"+"	"sul2"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"core"	"AMR"	"AMR"	"SULFONAMIDE"	"SULFONAMIDE"	"EXACTP"	271	271	100	100	271	"WP_001043260.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"NF000295.1"	"sulfonamide-resistant dihydropteroate synthase Sul2"	"NDSU4"
"892"	"HAGJOKOF_04869"	2	124100	124960	"+"	"blaTEM-1"	"broad-spectrum class A beta-lactamase TEM-1"	"core"	"AMR"	"AMR"	"BETA-LACTAM"	"BETA-LACTAM"	"ALLELEP"	286	286	100	100	286	"WP_000027057.1"	"broad-spectrum class A beta-lactamase TEM-1"	"NF000531.2"	"TEM family class A beta-lactamase"	"NDSU4"
